user,title,rating
뚱이에요,스네이크 아이즈: 지.아이.조,2.0
뚱이에요,건파우더 밀크셰이크,1.5
뚱이에요,보이스,3.0
뚱이에요,코다,4.5
뚱이에요,샹치와 텐 링즈의 전설,3.5
뚱이에요,레미니센스,3.0
뚱이에요,어메이징 스파이더맨,4.0
뚱이에요,소울,4.5
뚱이에요,인질,2.5
뚱이에요,팜 스프링스,3.5
뚱이에요,신 에반게리온 극장판:||,4.5
뚱이에요,올드,1.5
뚱이에요,싱크홀,1.0
뚱이에요,그린 나이트,3.5
뚱이에요,프리 가이,4.0
뚱이에요,고스트 스토리,5.0
뚱이에요,더 수어사이드 스쿼드,4.5
뚱이에요,피닉스,4.0
뚱이에요,펠리니를 찾아서,3.5
뚱이에요,방법: 재차의,2.0
뚱이에요,정글 크루즈,3.0
뚱이에요,모가디슈,4.0
뚱이에요,익스펜더블 3,3.0
뚱이에요,킹덤: 아신전,1.0
뚱이에요,스페이스 잼: 새로운 시대,4.0
뚱이에요,랑종,1.0
뚱이에요,더 퍼지: 포에버,3.5
뚱이에요,이스케이프 룸,2.5
뚱이에요,이스케이프 룸 2: 노 웨이 아웃,3.0
뚱이에요,꽃다발 같은 사랑을 했다,4.0
뚱이에요,블랙 위도우,3.5
뚱이에요,인 더 하이츠,4.0
뚱이에요,데이팅 앰버,4.0
뚱이에요,클라이밍,1.5
뚱이에요,발신제한,2.5
뚱이에요,루카,3.5
뚱이에요,사랑하고 사랑받고 차고 차이고,3.0
뚱이에요,가문의 부활 - 가문의 영광 3,1.5
뚱이에요,가문의 영광 4 - 가문의 수난,1.5
뚱이에요,킬러의 보디가드 2: 킬러의 와이프,2.5
뚱이에요,콰이어트 플레이스 2,4.0
뚱이에요,아야와 마녀,1.0
뚱이에요,인트로덕션,3.0
뚱이에요,캐시트럭,3.5
뚱이에요,우아한 거짓말,3.0
뚱이에요,크루엘라,3.5
뚱이에요,낫아웃,3.0
뚱이에요,컨저링 3: 악마가 시켰다,2.0
뚱이에요,분노의 질주: 더 얼티메이트,3.5
뚱이에요,나의 히어로 아카데미아 더 무비: 히어로즈 라이징,4.0
뚱이에요,극장판 도라에몽: 진구의 공룡대탐험,3.5
뚱이에요,나의 히어로 아카데미아 더 무비: 두 명의 히어로,4.0
뚱이에요,모탈 컴뱃,2.0
뚱이에요,고질라 VS. 콩,3.5
뚱이에요,침입자,2.0
뚱이에요,잭 스나이더의 저스티스 리그,4.5
뚱이에요,원더 우먼 1984,3.0
뚱이에요,국제수사,1.0
뚱이에요,시간의 주름,1.5
뚱이에요,삼진그룹 영어토익반,3.5
뚱이에요,추격자,4.0
뚱이에요,승리호,2.5
뚱이에요,프리키 데스데이,3.0
뚱이에요,극장판 귀멸의 칼날 무한열차편,4.5
뚱이에요,월터의 상상은 현실이 된다,4.0
뚱이에요,블랙핑크: 세상을 밝혀라,3.5
뚱이에요,도굴,2.0
뚱이에요,치하야후루 상편,3.5
뚱이에요,런,3.5
뚱이에요,국제시장,2.0
뚱이에요,극장판 포켓몬스터: 뮤츠의 역습 EVOLUTION,2.5
뚱이에요,퍼펙트 파트너,2.0
뚱이에요,테넷,2.5
뚱이에요,더 프롬,3.0
뚱이에요,혹시 내게 무슨 일이 생기면,3.5
뚱이에요,콜,3.5
뚱이에요,고스트 쉽,2.5
뚱이에요,뉴 뮤턴트,2.0
뚱이에요,양지의 그녀,3.5
뚱이에요,신의 한 수: 귀수편,2.0
뚱이에요,연애가 고달픈 남자,3.0
뚱이에요,하트어택,2.5
뚱이에요,완벽한 원나잇,3.0
뚱이에요,시시콜콜한 이야기,3.5
뚱이에요,엽문4: 더 파이널,2.0
뚱이에요,여름의 소리,3.0
뚱이에요,다크 나이트,4.5
뚱이에요,아인,3.0
뚱이에요,마루위구름,3.5
뚱이에요,톰보이,4.0
뚱이에요,사탄의 베이비시터: 킬러 퀸,3.0
뚱이에요,사탄의 베이비시터,3.0
뚱이에요,별이 빛나는 밤에,4.0
뚱이에요,다만 악에서 구하소서,3.0
뚱이에요,울고 싶은 나는 고양이 가면을 쓴다,3.5
뚱이에요,판타지 아일랜드,1.5
뚱이에요,그녀와 그녀의 고양이: 흘러가는 시간들,4.0
뚱이에요,블러드샷,3.0
뚱이에요,나의 마더,3.5
뚱이에요,닥터 두리틀,3.0
뚱이에요,뮬란,2.5
뚱이에요,피터와 드래곤,3.0
뚱이에요,플라이트 7500,1.5
뚱이에요,더 리치,2.5
뚱이에요,신비한 동물사전,3.5
뚱이에요,나의 첫 번째 슈퍼스타,2.5
뚱이에요,솔로몬의 위증 후편: 재판,2.5
뚱이에요,오버드라이브,1.5
뚱이에요,솔로몬의 위증 전편: 사건,3.0
뚱이에요,옥수수밭의 아이들,1.5
뚱이에요,반도,2.0
뚱이에요,착신아리 2,2.0
뚱이에요,해리포터와 죽음의 성물 2,4.5
뚱이에요,강철비2: 정상회담,2.5
뚱이에요,리턴 투 센더,2.0
뚱이에요,정직한 후보,2.5
뚱이에요,카페 벨에포크,4.0
뚱이에요,언터처블: 1%의 우정,3.5
뚱이에요,히트맨,1.5
뚱이에요,레이니 데이 인 뉴욕,3.5
뚱이에요,쿠티스,3.0
뚱이에요,돼룩돼룩,3.5
뚱이에요,키싱 부스 2,3.0
뚱이에요,키싱 부스,2.5
뚱이에요,프리즌 이스케이프,2.5
뚱이에요,레미제라블: 뮤지컬 콘서트,3.5
뚱이에요,눈의 꽃,2.5
뚱이에요,10 바이 10,1.5
뚱이에요,올드 가드,2.5
뚱이에요,데드풀 2,3.0
뚱이에요,검사외전,1.0
뚱이에요,퍼시픽 림,4.0
뚱이에요,에이스 그레이드,4.0
뚱이에요,남산의 부장들,3.5
뚱이에요,익스트랙션,2.5
뚱이에요,사냥의 시간,1.5
뚱이에요,툼레이더,3.5
뚱이에요,미녀 삼총사 3,2.0
뚱이에요,버즈 오브 프레이: 할리 퀸의 황홀한 해방,3.0
뚱이에요,어트랙션,2.0
뚱이에요,밤쉘: 세상을 바꾼 폭탄선언,3.5
뚱이에요,"아무튼, 아담",2.0
뚱이에요,인베이젼 2020,2.0
뚱이에요,리플리,4.0
뚱이에요,소리꾼,2.0
뚱이에요,"귀향, 끝나지 않은 이야기",1.5
뚱이에요,온워드: 단 하루의 기적,3.5
뚱이에요,#살아있다,2.0
뚱이에요,코드 8,1.5
뚱이에요,미녀와 야수,3.5
뚱이에요,미스터 주: 사라진 VIP,1.0
뚱이에요,지랄발광 17세,4.0
뚱이에요,에이리언: 커버넌트,4.0
뚱이에요,오버로드,3.0
뚱이에요,미드웨이,2.0
뚱이에요,스타워즈: 라이즈 오브 스카이워커,3.0
뚱이에요,더 비지트,3.0
뚱이에요,헌트,4.0
뚱이에요,스노우 스팀 아이언,4.0
뚱이에요,루키스,0.5
뚱이에요,에어로너츠,3.5
뚱이에요,콜 오브 와일드,3.0
뚱이에요,1917,4.5
뚱이에요,인비저블맨,4.0
뚱이에요,쿠로사키군의 말대로는 되지 않아,1.0
뚱이에요,스카이스크래퍼,2.0
뚱이에요,아토믹 블론드,4.0
뚱이에요,"눈부신 세상 끝에서, 너와 나",3.5
뚱이에요,미드소마,5.0
뚱이에요,테일러 스위프트의 레퓨테이션 스타디움 투어,4.0
뚱이에요,캣츠,1.5
뚱이에요,백두산,2.0
뚱이에요,"미안해요, 리키",4.0
뚱이에요,9: 나인,3.0
뚱이에요,에픽 : 숲속의 전설,2.0
뚱이에요,시동,2.0
뚱이에요,페인 앤 게인,3.0
뚱이에요,6 언더그라운드,3.0
뚱이에요,카운트다운,2.0
뚱이에요,아내를 죽였다,1.0
뚱이에요,쥬만지: 넥스트 레벨,3.0
뚱이에요,오피셜 시크릿,3.5
뚱이에요,나이브스 아웃,4.0
뚱이에요,라스트 크리스마스,2.5
뚱이에요,그레이트 월,1.5
뚱이에요,굿 라이어,2.5
뚱이에요,감쪽같은 그녀,1.5
뚱이에요,윤희에게,2.0
뚱이에요,포드 V 페라리,3.5
뚱이에요,집 이야기,4.0
뚱이에요,크롤,3.5
뚱이에요,러브 앳,3.0
뚱이에요,허슬러,1.5
뚱이에요,나를 찾아줘,2.0
뚱이에요,어제 일은 모두 괜찮아,2.0
뚱이에요,겨울왕국 2,3.0
뚱이에요,심판,3.5
뚱이에요,더 컨덕터,2.5
뚱이에요,재키 브라운,3.5
뚱이에요,어쩌다 룸메이트,2.5
뚱이에요,책도둑,3.5
뚱이에요,올 이즈 로스트,3.5
뚱이에요,파비안느에 관한 진실,3.5
뚱이에요,앤젤 해즈 폴른,2.5
뚱이에요,좀비랜드: 더블 탭,4.0
뚱이에요,런던 프라이드,3.5
뚱이에요,타이페이 스토리,3.5
뚱이에요,닥터 슬립,3.0
뚱이에요,블랙머니,3.0
뚱이에요,캔 유 킵 어 시크릿?,2.0
뚱이에요,스탠 바이 미,4.0
뚱이에요,신의 한 수,2.5
뚱이에요,쿠엔틴 타란티노 8,3.0
뚱이에요,하이 라이프,2.5
뚱이에요,우먼 인 할리우드,3.0
뚱이에요,터미네이터: 다크 페이트,1.5
뚱이에요,날씨의 아이,3.0
뚱이에요,람보 : 라스트 워,2.5
뚱이에요,독전: 익스텐디드 컷,1.0
뚱이에요,경계선,4.0
뚱이에요,아이다호,2.5
뚱이에요,82년생 김지영,3.5
뚱이에요,아담스 패밀리,2.5
뚱이에요,소시지 파티,4.0
뚱이에요,거꾸로 가는 남자,3.5
뚱이에요,버티고,2.0
뚱이에요,아더 우먼,3.0
뚱이에요,와일드 로즈,4.0
뚱이에요,말레피센트 2,3.0
뚱이에요,두번할까요,1.5
뚱이에요,아워 바디,3.0
뚱이에요,"혜화,동",3.5
뚱이에요,디어 마이 프렌드,2.5
뚱이에요,나쁜 피,3.5
뚱이에요,지구가 끝장 나는 날,4.0
뚱이에요,판소리 복서,3.0
뚱이에요,샤크네이도 스톰,2.0
뚱이에요,102 달마시안,3.0
뚱이에요,이레셔널 맨,3.0
뚱이에요,사망유희 디 오리지널,3.5
뚱이에요,집으로 가는 길,3.5
뚱이에요,너를 만난 여름,1.5
뚱이에요,배틀 앳 빅록,3.0
뚱이에요,퍼펙트맨,1.5
뚱이에요,제미니 맨,2.0
뚱이에요,여기가 천국,3.5
뚱이에요,더 킹: 헨리 5세,2.0
뚱이에요,마티아스와 막심,3.0
뚱이에요,가장 보통의 연애,3.0
뚱이에요,조커,4.0
뚱이에요,상사부일체,1.5
뚱이에요,양자물리학,2.5
뚱이에요,별의 목소리,3.0
뚱이에요,에너미 라인스,3.5
뚱이에요,리틀 포레스트: 사계절,3.5
뚱이에요,로크,3.5
뚱이에요,스니치,2.5
뚱이에요,와인스타인,3.0
뚱이에요,미드 90,3.5
뚱이에요,메기,4.0
뚱이에요,더 룸,3.5
뚱이에요,장사리 : 잊혀진 영웅들,1.5
뚱이에요,비뚤어진 집,2.5
뚱이에요,메이킹 웨이브: 영화 사운드의 예술,4.0
뚱이에요,애드 아스트라,4.0
뚱이에요,뷰티풀 보이,3.0
뚱이에요,예스터데이,2.0
뚱이에요,"힘을 내요, 미스터 리",1.5
뚱이에요,100일 동안 100가지로 100퍼센트 행복찾기,3.5
뚱이에요,나쁜 녀석들: 더 무비,2.0
뚱이에요,타짜: 원 아이드 잭,2.0
뚱이에요,안녕 베일리,3.5
뚱이에요,유리정원,3.0
뚱이에요,그것: 두 번째 이야기,3.5
뚱이에요,안나,2.5
뚱이에요,연애의 온도,3.0
뚱이에요,유열의 음악앨범,3.0
뚱이에요,47미터 2,2.0
뚱이에요,벌새,2.0
뚱이에요,길버트 그레이프,4.0
뚱이에요,이타미 준의 바다,3.0
뚱이에요,우리집,4.5
뚱이에요,커런트 워,2.5
뚱이에요,광대들: 풍문조작단,1.5
뚱이에요,레이디와 트램프,4.0
뚱이에요,오르페브르 36번가,3.5
뚱이에요,변신,1.5
뚱이에요,분노의 질주: 홉스&쇼,3.5
뚱이에요,돌아와요 부산항애(愛),1.0
뚱이에요,글루미 선데이,4.0
뚱이에요,틴 스피릿,2.5
뚱이에요,김복동,3.5
뚱이에요,호크니,2.5
뚱이에요,봉오동 전투,2.5
뚱이에요,누구나 아는 비밀,2.5
뚱이에요,엑시트,3.5
뚱이에요,사자,1.0
뚱이에요,마이펫의 이중생활2,2.0
뚱이에요,롱 샷,3.5
뚱이에요,아니마,2.5
뚱이에요,나랏말싸미,0.5
뚱이에요,명탐정 코난 : 시한 장치의 마천루,3.0
뚱이에요,명탐정 코난: 침묵의 15분,2.5
뚱이에요,명탐정 코난: 천공의 난파선,3.5
뚱이에요,명탐정 코난: 감청의 권,3.0
뚱이에요,주전장,4.0
뚱이에요,그녀들을 도와줘,2.5
뚱이에요,돈 워리,3.0
뚱이에요,혐오스런 마츠코의 일생,3.0
뚱이에요,위!,2.0
뚱이에요,로우,4.0
뚱이에요,라이온 킹,4.5
뚱이에요,데드 돈 다이,3.0
뚱이에요,감각의 제국,1.5
뚱이에요,나인 송즈,2.5
뚱이에요,엑소시스트,4.0
뚱이에요,기방도령,1.0
뚱이에요,저스티스 리그,2.0
뚱이에요,주온 : 끝의 시작,1.5
뚱이에요,원스 어폰 어 타임... 인 할리우드,0.5
뚱이에요,13년의 공백,3.0
뚱이에요,칠드런 액트,2.0
뚱이에요,존 윅 3: 파라벨룸,3.5
뚱이에요,스파이더맨: 파 프롬 홈,4.0
뚱이에요,강아지 똥,3.5
뚱이에요,미스터 캣,3.0
뚱이에요,니키타,3.5
뚱이에요,타워 하이스트,3.0
뚱이에요,더 로드,3.5
뚱이에요,섬. 사라진 사람들,2.0
뚱이에요,컴플라이언스,3.0
뚱이에요,마녀 배달부 키키,4.0
뚱이에요,비스트,1.0
뚱이에요,갤버스턴,3.0
뚱이에요,조,3.0
뚱이에요,애나벨 집으로,2.5
뚱이에요,마담 싸이코,2.0
뚱이에요,주피터 어센딩,2.0
뚱이에요,행복한 라짜로,4.0
뚱이에요,북클럽,2.5
뚱이에요,꿈과 광기의 왕국,3.5
뚱이에요,사탄의 인형 4 - 처키의 신부,3.0
뚱이에요,사탄의 인형 3,2.0
뚱이에요,사탄의 인형 2,3.0
뚱이에요,컬트 오브 처키,2.0
뚱이에요,자카르타,3.0
뚱이에요,메가 샤크 터미네이터,0.5
뚱이에요,사탄의 인형,2.5
뚱이에요,토이 스토리 4,4.5
뚱이에요,라플라타 강의 전투,3.0
뚱이에요,롱 리브 더 킹: 목포 영웅,1.5
뚱이에요,고지전,3.5
뚱이에요,업사이드,2.5
뚱이에요,남의 섹스를 비웃지마,3.0
뚱이에요,0.0MHz,0.5
뚱이에요,공주와 개구리,3.5
뚱이에요,맨 인 블랙: 인터내셔널,2.5
뚱이에요,지옥이 뭐가 나빠,3.5
뚱이에요,숀더쉽,3.5
뚱이에요,탐엣더팜,3.5
뚱이에요,22년 후의 고백,2.5
뚱이에요,몬스터,3.5
뚱이에요,블레이드 러너 2049,5.0
뚱이에요,파리의 딜릴리,2.0
뚱이에요,하나레이 베이,3.0
뚱이에요,엑스맨: 다크 피닉스,2.0
뚱이에요,로켓맨,4.0
뚱이에요,지리멸렬,3.5
뚱이에요,미이라,3.0
뚱이에요,기생충,4.5
뚱이에요,글로리아 벨,3.5
뚱이에요,고질라: 킹 오브 몬스터,2.5
뚱이에요,더 보이,2.5
뚱이에요,알라딘,3.5
뚱이에요,어린 의뢰인,2.5
뚱이에요,런던 필드,3.5
뚱이에요,피노키오,4.0
뚱이에요,퍼니 게임,4.0
뚱이에요,초록물고기,3.0
뚱이에요,무민 더 무비,3.0
뚱이에요,서스페리아,4.0
뚱이에요,배심원들,3.0
뚱이에요,악인전,3.0
뚱이에요,콜로니아,3.5
뚱이에요,극장판 루팡 3세 VS 명탐정 코난,3.5
뚱이에요,싱글 맨,4.0
뚱이에요,파란 우산,3.5
뚱이에요,걸캅스,1.5
뚱이에요,게이트,1.0
뚱이에요,전선 위의 참새,3.0
뚱이에요,히든 페이스,3.0
뚱이에요,에곤 쉴레: 욕망이 그린 그림,3.0
뚱이에요,폴라로이드 작동법,3.5
뚱이에요,비틀즈: 하드 데이즈 나이트,3.5
뚱이에요,고양이 여행 리포트,3.0
뚱이에요,도마 안중근,0.5
뚱이에요,다세포 소녀,0.5
뚱이에요,긴급조치 19호,0.5
뚱이에요,어느 예술가의 마지막 일주일,4.0
뚱이에요,알리,3.0
뚱이에요,파커,3.0
뚱이에요,백야,3.5
뚱이에요,로얄 어페어,3.5
뚱이에요,명탐정 피카츄,3.5
뚱이에요,스피드 레이서,1.0
뚱이에요,나의 특별한 형제,3.0
뚱이에요,결혼하지 않아도 괜찮을까,3.5
뚱이에요,세상을 바꾼 변호인,3.5
뚱이에요,빨간머리 앤: 그린게이블로 가는 길,3.5
뚱이에요,스트롱거,3.5
뚱이에요,드래곤하트,3.5
뚱이에요,극장판 짱구는 못말려 2기: 부리부리 왕국의 숨겨진 보물,3.0
뚱이에요,조찬 클럽,3.5
뚱이에요,끝과 시작,2.0
뚱이에요,덴마크 시인,3.0
뚱이에요,양성평등,2.0
뚱이에요,"티모, 티모리스",3.0
뚱이에요,퍼니 게임,3.5
뚱이에요,에브리바디 올라잇,3.5
뚱이에요,돈키호테를 죽인 사나이,3.0
뚱이에요,벤 이즈 백,3.0
뚱이에요,어벤져스: 엔드게임,5.0
뚱이에요,"다시, 봄",2.5
뚱이에요,유랑지구,3.0
뚱이에요,인카네이트,2.5
뚱이에요,나의 작은 시인에게,3.5
뚱이에요,요로나의 저주,2.0
뚱이에요,루스 베이더 긴즈버그: 나는 반대한다,4.0
뚱이에요,이오지마에서 온 편지,4.0
뚱이에요,하이큐!! 승자와 패자,3.5
뚱이에요,하이큐!! 콘셉트의 싸움,3.5
뚱이에요,하이큐!! 재능과 센스,3.5
뚱이에요,하이큐!! 끝과 시작,3.5
뚱이에요,"화성 아이, 지구 아빠",3.5
뚱이에요,터미네이터 제니시스,3.0
뚱이에요,페르소나,2.5
뚱이에요,미성년,3.5
뚱이에요,라이온 킹,5.0
뚱이에요,헬보이,3.0
뚱이에요,파이브 피트,2.5
뚱이에요,생일,3.0
뚱이에요,샤잠!,3.5
뚱이에요,엘리트 스쿼드,3.5
뚱이에요,바이스,4.0
뚱이에요,트랜스포머: 최후의 기사,3.0
뚱이에요,나탈리,1.0
뚱이에요,스타워즈: 라스트 제다이,3.5
