title,year,country,genres,time,new_genres
Sixteen Candles,1984,미국,코미디,1시간 33분,코미디
퍼스트 클래스,2019,한국,애니메이션/단편,4분,정보없음
검은 악어,2017,한국,애니메이션,0분,애니메이션
BADLANDS,1973,미국,범죄/액션/드라마/스릴러,1시간 35분,범죄
16mm,1968,미국,단편,22분,정보없음
Absurd Encounter with Fear,1967,미국,공포,2분,정보없음
The Amputee,1974,미국,드라마,9분,정보없음
Six Figures Getting Sick,1966,미국,애니메이션,4분,정보없음
The Crowd,1928,미국,드라마/로맨스,1시간 38분,드라마
Suzaku,1997,일본,드라마,1시간 35분,일본
The Collector,1967,프랑스,로맨스/코미디/드라마,1시간 29분,정보없음
Zama,2017,"아르헨티나,브라질,스페인,도미니카 공화국,프랑스,네덜란드,멕시코,스위스,미국,포르투갈,레바논",역사/드라마,1시간 55분,드라마
Reminiscence,2021,미국,미스터리/로맨스/SF/스릴러,2시간 28분,SF
City Lights,1931,미국,로맨틱코미디/드라마,1시간 26분,코미디
Cat People,1942,미국,로맨스/공포/스릴러,1시간 13분,정보없음
くちづけ,1957,일본,드라마/로맨스,1시간 14분,드라마
Pecan Pie,2003,미국,코미디,2분,정보없음
One Day...,2001,미국,코미디,9분,정보없음
La Lettre,2001,프랑스,드라마,14분,드라마
Short Term 12,2013,미국,드라마,1시간 36분,드라마
The Holy Girl,2004,아르헨티나,드라마,1시간 44분,드라마
Sans Titre,1997,프랑스,9분,전체 관람가,정보없음
My Last Minute,2006,오스트리아,드라마,1분,정보없음
플레이온,2020,한국,단편/애니메이션,8분,애니메이션
Belief,2019,한국,애니메이션/단편,33시간 39분,애니메이션
Greenlight,2016,한국,애니메이션/단편,16분,정보없음
우주의 끝,2020,한국,애니메이션/단편,10분,애니메이션
My Moon,2018,한국,애니메이션,9분,정보없음
움직임의 사전,2019,한국,코미디/애니메이션/단편,10분,애니메이션
Recordações da Casa Amarela,1989,포르투갈,드라마/코미디,2시간 2분,정보없음
Im Lauf der Zeit,1976,서독,드라마,2시간 55분,독일(구 서독)
Masculin Feminin,1966,"프랑스,스웨덴",1시간 43분,전체 관람가,"프랑스, 스웨덴"
Old,2021,미국,드라마/미스터리/스릴러/공포,1시간 48분,스릴러
Black Mail,1929,영국,범죄/스릴러,1시간 24분,영국
Dalgoo-bi,2013,한국,드라마,33분,정보없음
인질,2021,한국,액션/스릴러,1시간 34분,액션
Dracula,1931,미국,판타지/공포/드라마,1시간 25분,"<a href=""https://book.naver.com/search/search.nhn?frameFilterType=1&amp;frameFilterValue=6000001794&amp;query=브램 스토커"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xdk*z.aut&amp;r=1&amp;i=801915cd_000000918A19&amp;u=' + urlencode(this.href));"">브램 스토커</a></dd>, "
Poison,1933,프랑스,4분,전체 관람가,정보없음
Le Retour A la Raison,1923,프랑스,3분,전체 관람가,프랑스
The Village,2004,미국,드라마/미스터리/스릴러,1시간 46분,정보없음
Le Corbeau,1943,프랑스,미스터리/범죄/액션/드라마/스릴러,1시간 32분,범죄
Like Crazy,2011,미국,드라마/로맨스,1시간 30분,드라마
Maine-Ocean,1986,프랑스,코미디,2시간 10분,정보없음
The Panic in Needle Park,1971,미국,로맨스/드라마/범죄,1시간 50분,범죄
花束みたいな恋をした,2020,일본,로맨스/드라마,2시간 3분,멜로/로맨스
Free Guy,2021,미국,액션/모험/코미디,1시간 55분,액션
싱크홀,2020,한국,드라마/재난,1시간 53분,드라마
Fear And Desire,1953,미국,스릴러,1시간 8분,미국
Werckmeister Harm_ni_k,2000,"독일,프랑스,헝가리,이탈리아",드라마,2시간 25분,정보없음
Tango,1998,"스페인,아르헨티나",로맨스/드라마,1시간 57분,정보없음
Deux,2019,"프랑스,룩셈부르크,벨기에",드라마/로맨스,1시간 35분,드라마
Unnamed Woman,2015,한국,드라마,24분,드라마
La messa è finita,1985,이탈리아,드라마/코미디,1시간 34분,정보없음
Yummy,2019,벨기에,액션/코미디/공포/스릴러,1시간 28분,코미디
The Docks of New York,1928,미국,드라마/범죄,1시간 16분,드라마
The Hunt,1966,스페인,1시간 31분,15세 관람가,액션
Sommarlek,1951,스웨덴,로맨스/드라마,1시간 36분,정보없음
Make Way for Tomorrow,1937,미국,로맨스/드라마,1시간 31분,드라마
ജെല്ലിക്കെട്ട്,2019,인도,액션/범죄/스릴러,1시간 31분,정보없음
OUTRAGE,2016,한국,액션/스릴러,23분,정보없음
The Green Knight,2021,"미국,아일랜드",드라마/판타지/로맨스,2시간 10분,모험
비폭력저항:평화롭게 아내의 입을 틀어막는 법,2012,한국,7분,전체 관람가,한국
낮잠,2015,한국,드라마/단편,8분,정보없음
The Suicide Squad,2021,미국,액션/모험/코미디/SF,2시간 12분,액션
Key Largo,1948,미국,범죄/액션/드라마/스릴러,1시간 41분,범죄
단추,2012,한국,단편,15분,드라마
작은 풀에도 이름 있으니,1990,한국,드라마,38분,드라마
사탕의 맛,2014,한국,단편,22분,정보없음
La región salvaje,2016,"노르웨이,독일,프랑스,덴마크,멕시코",스릴러/SF/공포/드라마,1시간 40분,정보없음
Scarecrow,1973,미국,드라마,1시간 52분,정보없음
Container,2018,한국,드라마/단편,26분,정보없음
Guernica,1978,체코,단편/드라마,17분,다큐멘터리
Morvern Callar,2002,영국,드라마,1시간 37분,영국
Les petits mouchoirs,2010,"프랑스,벨기에",코미디/드라마,2시간 14분,코미디
bottle rocket,1996,미국,범죄/코미디,1시간 31분,코미디
Terms of Endearment,1983,미국,코미디/드라마,2시간 3분,멜로/로맨스
卍(まんじ),1964,일본,드라마/로맨스,1시간 31분,정보없음
Jungle Cruise,2021,미국,액션/모험,2시간 7분,액션
모가디슈,2020,한국,액션/드라마,2시간 1분,액션
La Petite Marchande D'allumettes,1928,프랑스,드라마,40분,프랑스
Adieu Philippine,1962,"이탈리아,프랑스",드라마,1시간 46분,드라마
Der Blaue Engel,1930,독일,드라마/음악,1시간 44분,"독일</dd>, "
"Dance, Girl, Dance",1940,미국,드라마/코미디,1시간 30분,코미디
Rear Window,1954,미국,미스터리/로맨스/스릴러,1시간 52분,스릴러
Lights in the Dusk,2012,한국,드라마/단편,16분,드라마
Singularidades de uma Rapariga Loura,2009,"스페인,프랑스,포르투갈",로맨스,1시간 4분,정보없음
Mija,2012,한국,드라마,22분,드라마
Transcendence,2012,한국,18분,전체 관람가,액션
킹덤: 아신전,2021,한국,액션/드라마/판타지/공포/스릴러,1시간 33분,"2021.07.23.</dd>, "
Kon-Tiki,2012,"영국,노르웨이,덴마크,독일,스웨덴",모험/드라마/역사/액션,1시간 58분,액션
Der Handler der vier Jahreszeiten,1972,"독일,서독",드라마,1시간 28분,독일(구 서독)
Delicatessen,1991,프랑스,공포/코미디,1시간 38분,코미디
The Way Home,2013,한국,18분,전체 관람가,정보없음
Trunk,2013,한국,드라마,13분,정보없음
Phoenix,2014,독일,드라마,1시간 38분,드라마
The Circus,1928,미국,로맨틱코미디/드라마/가족,1시간 11분,코미디
맹수는 나의 것,2012,한국,드라마,23분,드라마
Vertigo,1958,미국,미스터리/로맨스/스릴러/범죄/드라마/액션,2시간 8분,드라마
In The Mood For Love,2011,한국,단편,11분,드라마
Broken Blossoms,1919,미국,로맨스,1시간 30분,정보없음
GRECOROMAN,2013,한국,드라마,23분,드라마
Gespenster,2005,독일,드라마,1시간 25분,독일
À Flor do Mar,1986,포르투갈,로맨스/드라마,2시간 30분,정보없음
달이 기울면,2013,한국,드라마/단편,24분,드라마
"Je T'Aime, Je T'Aime",1968,프랑스,로맨스/드라마,1시간 34분,드라마
Yella,2007,독일,로맨스/드라마/스릴러,1시간 29분,드라마
Where the Truth Lies,2005,"캐나다,영국",범죄/드라마/미스터리/스릴러,1시간 47분,미스터리
東京の女,1933,일본,드라마,47분,드라마
"a flowers does not wilt, but...",2012,한국,24분,전체 관람가,한국
"Sorry, Wrong Number",1948,미국,드라마/스릴러/범죄,1시간 29분,드라마
Sweet Temptation,2013,한국,드라마,24분,드라마
비상구,2013,한국,단편,11분,드라마
The Medium,2021,"한국,태국",공포/드라마,2시간 11분," <a href=""https://www.blooberteam.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xab*b.company&amp;r=1&amp;i=8016a8be_000001779427&amp;u=' + urlencode(this.href));"">블루버 팀</a> </dd>, "
BREATHE ME,2013,한국,드라마,20분,드라마
푸르른 틈새,2014,한국,단편,25분,정보없음
Murder!,1930,영국,범죄/미스터리/스릴러,1시간 32분,영국
자네 아내와 여행을 가고 싶네,2013,한국,로맨틱코미디/단편,25분,멜로/로맨스
White Mane: The Wild Horse,1953,프랑스,드라마,47분,정보없음
The Ear,1970,체코,드라마,1시간 34분,드라마
"Crna macka, beli macor",1998,"유고슬라비아,프랑스,독일,오스트리아,그리스",코미디/범죄/로맨스/로맨틱코미디,2시간 7분,코미디
Benilde Ou A Virgem Mae,1975,포르투갈,드라마,1시간 52분,드라마
Shutter,2004,태국,공포/판타지/스릴러/미스터리,1시간 36분,정보없음
Suntan,2016,"그리스,독일",로맨스/코미디/스릴러/드라마,1시간 44분,스릴러
Black Widow,2021,미국,액션/모험/SF,2시간 13분,액션
Hellish,2013,한국,8분,전체 관람가,한국
Um Filme Falado,2003,"이탈리아,프랑스,포르투갈",드라마/코미디,1시간 36분,드라마
One Day,2013,한국,26분,12세 관람가,드라마
Petla,1958,폴란드,드라마,1시간 36분,드라마
어떤 생일날,2013,한국,단편,25분,정보없음
여름밤의 소리,2018,한국,드라마/단편,22분,드라마
West World,1973,미국,액션/스릴러,1시간 28분," <a href=""http://www.hbo.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*K.sumchannel&amp;r=1&amp;i=00000012_0000007D5D4A&amp;u=' + urlencode(this.href));"">미국 HBO</a> "
소년의 자리,2018,한국,드라마,23분,드라마
Le Ballon Rouge,1956,프랑스,판타지/가족,34분,가족
The Navigator,1924,미국,액션/코미디,59분,미국
제8일의 밤,2021,한국,미스터리/스릴러,1시간 55분,미스터리
Убийцы,1956,소련,단편/드라마,19분,정보없음
Rust,2013,한국,드라마,19분," <a href=""http://wwww.facepunch.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xab*b.company&amp;r=1&amp;i=8016a8be_0000007DE6B4&amp;u=' + urlencode(this.href));"">페이스펀치 스튜디오</a> </dd>, "
From What Is Before,2014,필리핀,드라마,5시간 38분,드라마
La Vie de Jesus,1997,프랑스,드라마/범죄,1시간 36분,드라마
장례식,2014,한국,드라마,19분,정보없음
Tabu,2012,"포르투갈,독일,브라질,프랑스,스페인",드라마/로맨스,1시간 58분,정보없음
Popo And Me,2018,한국,단편,18분,정보없음
The Palm Beach Story,1942,미국,1시간 28분,전체 관람가,멜로/로맨스
나는 파리에 가고 싶어요,2018,한국,드라마,23분,드라마
Savage Grace,2007,"프랑스,스페인,미국",드라마,1시간 37분,드라마
Box,2015,한국,드라마,28분,정보없음
Simón del desierto,1965,멕시코,드라마,45분,정보없음
미지와의 조우,2017,한국,단편,25분,모험
Da xiang xi di er zuo,2018,중국,드라마,3시간 54분,정보없음
Diva,1981,프랑스,스릴러,2시간 3분,정보없음
Le signe du lion,1962,프랑스,드라마,1시간 43분,드라마
The Goddess,1934,중국,1시간 25분,전체 관람가,정보없음
와이키키 브라더스,2001,한국,드라마/음악,1시간 49분,드라마
자유의 언덕,2014,한국,드라마,1시간 6분,드라마
숲,2012,한국,드라마/스릴러,32분,드라마
The Hitman's Wife's Bodyguard,2021,"미국,영국",액션/코미디/범죄,1시간 39분,정보없음
Who Made Sohyun Cry,2018,한국,드라마,22분,드라마
발신제한,2021,한국,스릴러/드라마,1시간 34분,드라마
선물,2018,한국,드라마,5분,코미디
Journal d'un curé de campagne,1951,프랑스,드라마,1시간 35분,정보없음
Safety Last,1923,미국,액션/코미디/스릴러,1시간 13분,드라마
Middle Finger,2018,한국,드라마,29분,드라마
En kärlekshistoria,1970,스웨덴,로맨스/드라마,1시간 55분,정보없음
蘇州河,2000,"중국,독일",드라마/로맨스,1시간 23분,정보없음
Sayidat Al Bahr,2019,"사우디아라비아,아랍 에미레이트 연합,이라크",드라마/미스터리,1시간 14분,드라마
Carmin Profond,1996,"스페인,프랑스,멕시코",1시간 50분,전체 관람가,"프랑스, 스페인, 멕시코"
Squirtle,2018,한국,드라마,8분,드라마
A Quiet Place: Part II,2020,미국,드라마/공포/SF/스릴러,1시간 37분,스릴러
파출부,2019,한국,드라마/단편,19분,드라마
Luca,2021,미국,애니메이션/모험/가족/판타지/코미디,1시간 35분,애니메이션
CRISIS,1946,스웨덴,1시간 33분,전체 관람가," <a href=""http://www.ktv.jp/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_0000005156EC&amp;u=' + urlencode(this.href));"">일본 KTV</a> "
What Camp Means to Her,2018,한국,드라마/단편,21분,드라마
Blanco en Blanco,2019,"스페인,칠레,프랑스,독일",드라마,1시간 40분,드라마
Tooth,2017,한국,드라마,7분,정보없음
Little Shop of Horrors,1986,미국,SF/로맨스/공포/코미디,1시간 34분,SF
스포주의,2017,한국,드라마/코미디/단편,16분,코미디
Beloved,2017,한국,드라마/단편,29분," <a href=""?where=nexearch&amp;sm=tab_etc&amp;qvt=0&amp;query=Toni%20Morrison"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xh3*z.aut&amp;r=1&amp;i=00000000_000000000000&amp;u=' + urlencode(this.href));"">Toni Morrison</a> </dd>, "
Six Contes Moraux: La Boulang re de Monceau,1963,프랑스,로맨스/단편,23분,정보없음
Dylda,2019,러시아,드라마/전쟁,2시간 17분,드라마
Fool's Mate,1956,프랑스,27분,전체 관람가,프랑스
Lost Paradise,1997,일본,로맨스/드라마,1시간 59분,정보없음
Fury,1936,미국,로맨스/드라마/범죄,1시간 32분,정보없음
Tommy,1975,영국,드라마/판타지,1시간 51분,정보없음
허도령,2017,한국,단편,26분,정보없음
Three Little Pigs,1933,미국,애니메이션,8분,"<a href=""https://book.naver.com/search/search.nhn?frameFilterType=1&amp;frameFilterValue=509471&amp;query=Sommer, Carl"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xdk*1.aut&amp;r=1&amp;i=801915cd_00000091C9B5&amp;u=' + urlencode(this.href));"">Sommer, Carl</a>, <a href=""https://book.naver.com/search/search.nhn?frameFilterType=1&amp;frameFilterValue=509473&amp;query=Budwine, Greg (ILT)"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xdk*1.aut&amp;r=1&amp;i=801915cd_00000091C9B5&amp;u=' + urlencode(this.href));"">Budwine, Greg (ILT)</a></dd>, "
