영화이름,장르,줄거리
모가디슈,액션,"내전으로 고립된 낯선 도시, 모가디슈 지금부터 우리의 목표는 오로지 생존이다! 대한민국이 UN가입을 위해 동분서주하던 시기 1991년 소말리아의 수도 모가디슈에서는 일촉즉발의 내전이 일어난다. 통신마저 끊긴 그 곳에 고립된 대한민국 대사관의 직원과 가족들은 총알과 포탄이 빗발치는 가운데, 살아남기 위해 하루하루를 버텨낸다. 그러던 어느 날 밤, 북한 대사관의 일행들이 도움을 요청하며 문을 두드리는데… 목표는 하나, 모가디슈에서 탈출해야 한다!"
프리가이,액션,"평범한 직장, 절친 그리고 한 잔의 커피. 평화로운 일상 속 때론 총격전과 날강도가 나타나는 버라이어티한 ‘프리 시티’에 살고 있는 ‘가이’. 그에겐 뭐 하나 부족한 것이 없었다. 우연히 마주친 그녀에게 한눈에 반하기 전까지는… 갖은 노력 끝에 다시 만난 그녀는 ‘가이’가 비디오 게임 ‘프리 시티’에 사는 배경 캐릭터이고, 이 세상은 곧 파괴될 거라 경고한다. 혼란에 빠진 ‘가이’ 그러나 그는 ‘프리 시티’의 파괴를 막기 위해 더 이상 배경 캐릭터가 아닌, 히어로가 되기로 결심한다. 시원하게 터지는 상상초월 엔터테이닝 액션 블록버스터! 인생의 판을 바꿀 짜릿한 반란이 시작된다!"
이스케이프 룸 2 : 노 웨이 아웃,액션,"출구 없는 탈출 게임에서 가까스로 살아남은 ‘조이’와 ‘벤’. 게임을 설계한 의문의 조직 ‘미노스’의 실체를 밝히기 위해 뉴욕에 도착한 두 사람은 정체불명의 남자에게 휘말려 지하철에 갇히고 만다. 순간 다른 칸과 분리된 열차 안에는 초고압 전류가 흐르기 시작하고, 그곳에 있는 6명 모두 게임의 생존자라는 것이 밝혀진다. 목숨을 건 탈출 게임이 다시 시작됐음을 직감한 그들은 뉴욕을 배경으로 벌어지는 극한의 상황에서 살아남기 위한 사투를 벌이는데…."
크라운 빅,액션,LA 도심을 책임지고 있는 베테랑 경찰 ‘레이’와 함께 첫 순찰 근무를 맡게 된 신참 ‘닉’. 12시간 동안 만취자로부터 강력사건까지 연달아 발생하고 도로 위는 그야말로 일촉즉발의 전쟁터를 방불케 한다. 게다가 경찰까지 살해하는 무장 강도 사건까지 일어나는데… 끝나지 않는 범죄와의 전쟁을 목격한다!
캐시트럭,액션,"캐시트럭을 노리는 무장 강도에 의해 아들을 잃은 H(제이슨 스타뎀). 분노에 휩싸인 그는 아들을 죽인 범인의 단서를 찾기 위해 현금 호송 회사에 위장 취업한다. 첫 임무부터 백발백중 사격 실력을 자랑하며, 단숨에 에이스로 급부상한 H. 캐시트럭을 노리는 자들을 하나 둘 처리하며, 아들을 죽인 범인들과 점점 가까워지는데… 자비는 없다, 분노에 가득 찬 응징만이 남았다. 그의 분노가 폭발한다!"
모탈 컴뱃,액션,어스렐름과 아웃월드의 최강 챔피언들이 지구의 운명을 걸고 벌이는 서바이벌 대혈전 모탈 컴뱃. MMA 격투 선수 콜 영은 대전을 앞두고 선택 받은 전사들을 사전에 제거하려는 서브제로의 공격을 받는다. 지구와 가족을 보호하고 자기 혈통의 비밀을 알아내기 위해 모탈 컴뱃 토너먼트에 참가해 죽음의 전투를 치러야 한다!
더 수어사이드 스쿼드,액션,"살고 싶다면 무조건 성공시켜라! 최강 우주 빌런에 맞선, 자살특공대에게 맡겨진 ‘더’ 대책 없는 작전. 팀플레이가 ‘더’ 불가능한 최악의 안티히어로들. 최고의 팀워크를 기대한다면 “죽.는.다!”"
고질라 vs 콩,액션,"거대 몬스터들의 습격을 받은 지 3년 후, 콩은 스컬 아일랜드를 떠나 인간들의 보호관찰을 받고 있다. 한편, 인간들에게 등을 돌린 고질라는 비밀연구회사인 에이펙스에 존재하는 알 수 없는 힘에 이끌려 그곳을 쑥대밭으로 만든다. 위기 상황 속, 지구 안의 또 다른 지구인 할로우 어스의 에너지원을 찾아야만 인류가 안전할 수 있다는 판단하고 콩의 보호자들은 콩과 특별한 유대감을 형성하는 아이 지아와 함께 타이탄들의 고향일지 모르는 그 곳으로 위험한 여정을 떠난다. 그러던 중 분노에 찬 고질라의 공격을 받고, 마침내 맞붙게 된 두 전설의 장대한 대결은 앞으로 닥쳐올 대재앙의 서막에 불과했는데… 세상의 운명을 놓고, 지구상 가장 거대한 신화적 존재들의 스펙터클한 대격돌이 시작된다!"
다이하드 4,액션,"7월 4일 미국의 독립기념일, 컴퓨터 해킹 용의자 매튜 패럴(저스틴 롱)을 FBI본부로 호송하던 존 맥클레인. 매튜 패럴의 집으로 들이닥친 괴한들의 총격을 받고 가까스로 목숨을 건진다. 정부의 네트워크 전산망을 파괴해 미국을 장악하려는 전 정부요원 토마스 가브리엘이 자신의 계획을 저지할 가능성이 있는 모든 해커들을 죽이는 동시에 미국의 네트워크를 공격하기 시작한 것이다. 천신만고 끝에 목숨을 건졌지만 미국의 교통,통신,금융,전기 등 모든 네트워크가 테러리스트의 손아귀에 들어가고, 미국은 공황상태에 빠진다. 테러리스트를 막기 위해 뉴저지로 워싱턴으로 버지니아로 숨막히는 추격전을 벌이는 가운데, 가브리엘이 존 맥클레인의 딸 루시를 인질로 잡고 마는데…"
테넷,액션,시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!
베놈,액션,미워할 수 없는 빌런 히어로 ‘베놈’(톰 하디) 앞에 사상 최악의 빌런 ‘카니지’(우디 해럴슨)가 나타나 대혼돈의 시대를 예고하면서 그와 피할 수 없는 대결을 그린 액션 블록버스터.
어벤져스:엔드게임,액션,인피니티 워 이후 절반만 살아남은 지구 마지막 희망이 된 어벤져스 먼저 떠난 그들을 위해 모든 것을 걸었다! 위대한 어벤져스 운명을 바꿀 최후의 전쟁이 펼쳐진다!
올드가드,액션,오랜 시간을 거치며 세상의 어둠과 맞서운 불멸의 존재들이 세계를 수호하기 위해 또다시 힘을 합쳐 위기와 싸워나가는 이야기
블러드샷,액션,"아내와 함께 휴가를 보내던 특수 부대원 ‘레이’(빈 디젤)는 정체불명의 적에게 납치되어 살해당한다. 혈액 속에 수많은 나노봇을 주입하는 최첨단 프로젝트 블러드샷을 통해 부활한 레이. 놀라운 치유력과 가공할 만한 파워의 슈퍼 히어로로 업그레이드된 레이는 아내를 죽인 놈을 찾아 무차별적인 복수의 질주를 시작한다. 하지만, 자신이 진짜라고 생각했던 것들이 거짓임을 깨닫게 되는데…"
